year,title,author,publisher
1631,"Maeghdebvrghs liickoffer ontsteecken op het hoogh avtaer, by Leypzigh, door [...] Gvstaef Adolf.",Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1623,"De salige toortsen vanden E. bruydegom, heer Alard Krombalck, en [...] Tessel-schade Roemer Visschers.",Joost van den Vondel 1587-1679,"Ravesteyn, Paulus Aertsz van Amsterdam"
1637,"Gysbreght van Aemstel, d'ondergang van zijn stad en zijn ballingschap. Trevrspel.",Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
1654,Uitvaert van Orfeus: en Speelstryt van Apollo en Pan.,Joost van den Vondel 1587-1679,"Wees, Abraham de I, wed. Amsterdam"
1646,"De tranen, Petri ende Pauli [...]. Neurie.",Joost van den Vondel 1587-1679,"Matthijsz, Paulus Amsterdam"
1640,Joseph in Egypten. Treurspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
1660,Poëzij; zijnde verscheide gedichten.,Joost van den Vondel 1587-1679,"Oude druckerije, de Schiedam"
1665,Joseph in Egypten. Trevrspel.,Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz Amsterdam"
1720,Hierusalem verwoest. Trevrspel.,Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1648,Salomon. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1682,Vorstelijcke warande der dieren.,Joost van den Vondel 1587-1679,"Oossaan, Aart Dircksz Amsterdam"
1638,"Gysbreght van Aemstel, d'ondergang van zijn stad en zijn ballingschap. Trevrspel.",Joost van den Vondel 1587-1679,"Blaeu, Willem Jansz Amsterdam"
1636,De brvyloft van Ioan van de Pol en Dvifken van Gerwen.,Joost van den Vondel 1587-1679,S.l.s.n. Place and name not stated
1705,"Hekeldigten, met aanteekeningen, uit 's digters mondt opgeschreven",Joost van den Vondel 1587-1679,"Brakman, Pieter Amersfoort"
1720,"Noah, of Ondergang der eerste weerelt.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1661,Adonias of Rampzalige kroonzucht. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
1650,Poëzy of Verscheide gedichten.,Joost van den Vondel 1587-1679,"Hartgersz, Joost Amsterdam"
1629,"Zegesang ter eere van Frederick Henrick Bosdvvinger, VVezelvvinner, prince van Oranje.",Joost van den Vondel 1587-1679,"Breughel, Gerrit Hendricxsz van Amsterdam"
1640,Gebroeders. Trevrspel.,Joost van den Vondel 1587-1679,"Stichel, Dominicus van der Amsterdam"
17XX,"Joseph in Egypten, treur-spel.",Joost van den Vondel 1587-1679,"Groot, Gijsbert de wed. Amsterdam"
1660,Ioseph in Dothan. Treurspel.,Joost van den Vondel 1587-1679,"Bruyn, Cornelis de Amsterdam"
17XX,Salomon. Treurspel.,Joost van den Vondel 1587-1679,"Wees, Abraham de I Amsterdam"
1720,"Lucifer, treurspel.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1720,"Salmoneus, treurspel.",Joost van den Vondel 1587-1679,"Oosterwyk, Johannes van Amsterdam"
1655,"Gysbreght van Aemstel, d'ondergangh van sijn stad en sijn ballingschap. Treurspel.",Joost van den Vondel 1587-1679,"Bouman, Jan Jacobsz Amsterdam"
